scene_name,tile,platform,sensing_date,processing_baseline,product_uuid,esa_flag,failed_indicator,expected_reject,sensor_quality,geometric_quality,general_quality,format_correctness,radiometric_quality,degraded_anc_pct,degraded_msi_pct,nodata_pct,saturated_defective_pct,cloud_cover_pct,mask_defective_px,mask_nodata_px,mask_lost_packet_px,mask_saturated_px,source
S2A_MSIL1C_20240308T100841_N0510_R022_T32SPF_20240308T120958.SAFE,T32SPF,SENTINEL-2,2024-03-08T10:08:41.024000Z,,d9ae292f-757b-4cc6-9d69-12b254d41eaf,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,81.640195051665,,,,,ESA_OLQC
S2B_MSIL1C_20240310T095729_N0510_R122_T32SPF_20240310T123344.SAFE,T32SPF,SENTINEL-2,2024-03-10T09:57:29.024000Z,,b00b4f16-7cb7-467b-a7d1-f9910498c6b7,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.991788348413,,,,,ESA_OLQC
S2B_MSIL1C_20240313T100709_N0510_R022_T32SPF_20240313T121251.SAFE,T32SPF,SENTINEL-2,2024-03-13T10:07:09.024000Z,,ee4d3f46-4373-4cf8-8bfe-63a0840deac1,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,14.401874380282,,,,,ESA_OLQC
S2A_MSIL1C_20240315T100031_N0510_R122_T32SPF_20240315T120237.SAFE,T32SPF,SENTINEL-2,2024-03-15T10:00:31.024000Z,,b414d5cf-88a5-4c58-959a-d19f6605a706,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,31.135566902565,,,,,ESA_OLQC
S2A_MSIL1C_20240318T100731_N0510_R022_T32SPF_20240318T120956.SAFE,T32SPF,SENTINEL-2,2024-03-18T10:07:31.024000Z,,86ed06f7-f40e-42a4-9332-72e565fd1fbe,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.281298576279,,,,,ESA_OLQC
S2B_MSIL1C_20240320T095649_N0510_R122_T32SPF_20240320T120139.SAFE,T32SPF,SENTINEL-2,2024-03-20T09:56:49.024000Z,,a9acd801-753e-43dc-84d6-9f2f3329f3b1,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,5.706829108065,,,,,ESA_OLQC
S2B_MSIL1C_20240323T100649_N0510_R022_T32SPF_20240323T121051.SAFE,T32SPF,SENTINEL-2,2024-03-23T10:06:49.024000Z,,51aacde0-b43a-4f2a-b654-779610a3888b,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,32.410749045149,,,,,ESA_OLQC
S2A_MSIL1C_20240325T100031_N0510_R122_T32SPF_20240325T120110.SAFE,T32SPF,SENTINEL-2,2024-03-25T10:00:31.024000Z,,7a81995a-6b47-4912-9d39-24e939160738,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,96.970736659799,,,,,ESA_OLQC
S2A_MSIL1C_20240328T100631_N0510_R022_T32SPF_20240328T120957.SAFE,T32SPF,SENTINEL-2,2024-03-28T10:06:31.024000Z,,9ee50591-3a76-4bd7-a682-535faca704ef,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,2.419039325149,,,,,ESA_OLQC
S2B_MSIL1C_20240330T095559_N0510_R122_T32SPF_20240330T115956.SAFE,T32SPF,SENTINEL-2,2024-03-30T09:55:59.024000Z,,c9ae46ef-9661-4592-9411-b908e187266c,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2B_MSIL1C_20240402T100549_N0510_R022_T32SPF_20240402T120845.SAFE,T32SPF,SENTINEL-2,2024-04-02T10:05:49.024000Z,,627df607-b826-402e-a114-7c38a260da37,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,43.136840640725,,,,,ESA_OLQC
S2A_MSIL1C_20240404T100021_N0510_R122_T32SPF_20240404T134104.SAFE,T32SPF,SENTINEL-2,2024-04-04T10:00:21.025000Z,,bc013a2f-e5ec-4abf-b0cb-5448c716057d,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2A_MSIL1C_20240404T100021_N0510_R122_T32SPF_20240404T120117.SAFE,T32SPF,SENTINEL-2,2024-04-04T10:00:21.025000Z,,e4dada3b-f75f-480d-a8c0-3b8e7a92412f,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2A_MSIL1C_20240407T100551_N0510_R022_T32SPF_20240407T135205.SAFE,T32SPF,SENTINEL-2,2024-04-07T10:05:51.024000Z,,25207061-ab45-4551-b708-43d6d99a076b,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,14.100875728251,,,,,ESA_OLQC
S2B_MSIL1C_20240409T095549_N0510_R122_T32SPF_20240409T120640.SAFE,T32SPF,SENTINEL-2,2024-04-09T09:55:49.025000Z,,86acf097-bea3-4322-83c0-fcbe39f7cd59,FAILED,general_quality,1,PASSED,PASSED,FAILED,PASSED,PASSED,0.0,0.0,,,98.213204335752,,,,,ESA_OLQC
S2B_MSIL1C_20240412T100559_N0510_R022_T32SPF_20240412T121150.SAFE,T32SPF,SENTINEL-2,2024-04-12T10:05:59.026000Z,,f45e3859-10ed-480b-a04c-c20028b28943,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,77.582636346632,,,,,ESA_OLQC
S2A_MSIL1C_20240414T100031_N0510_R122_T32SPF_20240414T134137.SAFE,T32SPF,SENTINEL-2,2024-04-14T10:00:31.024000Z,,9ea77ccb-4fc2-4438-94a0-be223ccdf5bc,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,96.444444444444,,,,,ESA_OLQC
S2A_MSIL1C_20240417T100601_N0510_R022_T32SPF_20240417T153055.SAFE,T32SPF,SENTINEL-2,2024-04-17T10:06:01.024000Z,,d9fd9a96-2a94-4dd7-8625-3dde46228cd1,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,17.304771078356,,,,,ESA_OLQC
S2B_MSIL1C_20240419T095549_N0510_R122_T32SPF_20240419T120134.SAFE,T32SPF,SENTINEL-2,2024-04-19T09:55:49.024000Z,,57146d7b-dc8f-4d99-a465-df54de5609ed,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,43.982352414226,,,,,ESA_OLQC
S2B_MSIL1C_20240422T100559_N0510_R022_T32SPF_20240422T134853.SAFE,T32SPF,SENTINEL-2,2024-04-22T10:05:59.024000Z,,a49ac974-cc5e-480e-94fe-c8afdefa8db9,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,3.741236619011,,,,,ESA_OLQC
S2A_MSIL1C_20240424T100031_N0510_R122_T32SPF_20240424T134008.SAFE,T32SPF,SENTINEL-2,2024-04-24T10:00:31.024000Z,,df706fff-fce7-40ed-8694-0b17cf653cad,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.565797724626,,,,,ESA_OLQC
S2A_MSIL1C_20240427T100601_N0510_R022_T32SPF_20240427T134958.SAFE,T32SPF,SENTINEL-2,2024-04-27T10:06:01.024000Z,,5037f5eb-a46a-496a-bb4b-b65cd96f7ce5,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.029861522168,,,,,ESA_OLQC
S2B_MSIL1C_20240429T095549_N0510_R122_T32SPF_20240429T123319.SAFE,T32SPF,SENTINEL-2,2024-04-29T09:55:49.024000Z,,977280e3-e572-43da-b4dd-8206483ded1d,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,74.744423542059,,,,,ESA_OLQC
S2B_MSIL1C_20240502T100559_N0510_R022_T32SPF_20240502T121137.SAFE,T32SPF,SENTINEL-2,2024-05-02T10:05:59.024000Z,,bf91d0e0-2e8b-45ab-a15a-003da8141b57,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,38.208128241595,,,,,ESA_OLQC
S2A_MSIL1C_20240504T100031_N0510_R122_T32SPF_20240504T120256.SAFE,T32SPF,SENTINEL-2,2024-05-04T10:00:31.024000Z,,5df5290a-2dfb-40af-a421-badaca587b61,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,14.146495864314,,,,,ESA_OLQC
S2A_MSIL1C_20240507T100601_N0510_R022_T32SPF_20240507T121117.SAFE,T32SPF,SENTINEL-2,2024-05-07T10:06:01.024000Z,,429bd3f1-792b-4d3a-8052-9631d50cf80d,FAILED,geometric_quality,1,PASSED,FAILED,PASSED,PASSED,PASSED,0.0,0.0,,,11.283263765495,,,,,ESA_OLQC
S2B_MSIL1C_20240509T095549_N0510_R122_T32SPF_20240509T120213.SAFE,T32SPF,SENTINEL-2,2024-05-09T09:55:49.024000Z,,33b1dba4-7f41-4005-8318-a262670c2340,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,96.80707097853,,,,,ESA_OLQC
S2B_MSIL1C_20240512T100559_N0510_R022_T32SPF_20240512T124602.SAFE,T32SPF,SENTINEL-2,2024-05-12T10:05:59.024000Z,,b348a1e0-29cd-4e8d-b64a-d5847f12f846,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2A_MSIL1C_20240514T100031_N0510_R122_T32SPF_20240514T115959.SAFE,T32SPF,SENTINEL-2,2024-05-14T10:00:31.024000Z,,ded339ba-5406-4671-8df7-90dfe1850ca0,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,27.183821553346,,,,,ESA_OLQC
S2A_MSIL1C_20240517T100601_N0510_R022_T32SPF_20240517T152850.SAFE,T32SPF,SENTINEL-2,2024-05-17T10:06:01.024000Z,,f9def0ff-d8d6-4ea1-b406-dcb6b31efe72,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,74.039891045568,,,,,ESA_OLQC
S2B_MSIL1C_20240519T095549_N0510_R122_T32SPF_20240519T120005.SAFE,T32SPF,SENTINEL-2,2024-05-19T09:55:49.024000Z,,bf6de126-eb0b-47aa-8b8c-ea92421926ae,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,8.746245035683,,,,,ESA_OLQC
S2B_MSIL1C_20240522T100559_N0510_R022_T32SPF_20240522T120905.SAFE,T32SPF,SENTINEL-2,2024-05-22T10:05:59.024000Z,,ebf56c30-d2f3-4d12-a832-96a196740a68,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,1.890464204599,,,,,ESA_OLQC
S2A_MSIL1C_20240524T100031_N0510_R122_T32SPF_20240524T134121.SAFE,T32SPF,SENTINEL-2,2024-05-24T10:00:31.024000Z,,6a7aba5e-ed60-4bd3-a14c-e28f329e8bbe,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,46.052106661889,,,,,ESA_OLQC
S2A_MSIL1C_20240527T100601_N0510_R022_T32SPF_20240527T135100.SAFE,T32SPF,SENTINEL-2,2024-05-27T10:06:01.025000Z,,2df1f804-7a62-49e3-a63e-8d280b3188d2,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2B_MSIL1C_20240529T095549_N0510_R122_T32SPF_20240529T151752.SAFE,T32SPF,SENTINEL-2,2024-05-29T09:55:49.024000Z,,50d401c5-2e15-43ad-a32c-f5535e1cc163,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,79.757502463495,,,,,ESA_OLQC
S2B_MSIL1C_20240601T100559_N0510_R022_T32SPF_20240601T121029.SAFE,T32SPF,SENTINEL-2,2024-06-01T10:05:59.024000Z,,4334804c-bdee-4ecb-8a38-0a24ff68c634,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,31.005954733657,,,,,ESA_OLQC
S2A_MSIL1C_20240603T100031_N0510_R122_T32SPF_20240603T134002.SAFE,T32SPF,SENTINEL-2,2024-06-03T10:00:31.024000Z,,6bb00713-ff0f-482b-8c3a-9d7928b77872,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,59.726805816835,,,,,ESA_OLQC
S2A_MSIL1C_20240606T100601_N0510_R022_T32SPF_20240606T153007.SAFE,T32SPF,SENTINEL-2,2024-06-06T10:06:01.024000Z,,4d507b56-795f-4547-b52b-3b3da33a2a1a,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2B_MSIL1C_20240608T095549_N0510_R122_T32SPF_20240608T120316.SAFE,T32SPF,SENTINEL-2,2024-06-08T09:55:49.024000Z,,3c2fd98d-da13-420c-8f8f-7c298f88e4c7,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.989638388725,,,,,ESA_OLQC
